Entity,Trade Type,Exchange Rate,Currency,Instruction Date,Settlement Date,Units,Price Per Unit
Entity-1,Buy,0.1280,HKD,04-01-2018,04-01-2018,250,100.25
Entity-1,Sell,0.1280,HKD,04-01-2018,04-01-2018,120,100.75
Entity-2,Buy,1.1897,EUR,04-01-2018,04-02-2018,300,105.50
Entity-2,Sell,1.1897,EUR,04-01-2018,04-02-2018,240,106.00
Entity-3,Buy,0.0089,JPY,04-01-2018,04-03-2018,630,110.75
Entity-3,Sell,0.0089,JPY,04-01-2018,04-03-2018,220,111.25
Entity-4,Buy,1.3468,GBP,04-01-2018,04-04-2018,315,115.00
Entity-4,Sell,1.3468,GBP,04-01-2018,04-04-2018,220,115.50
Entity-5,Buy,0.7612,AUD,04-01-2018,04-05-2018,90,120.25
Entity-5,Sell,0.7612,AUD,04-01-2018,04-05-2018,430,120.75
Entity-6,Buy,0.7884,CAD,04-02-2018,04-02-2018,670,125.50
Entity-6,Sell,0.7884,CAD,04-02-2018,04-02-2018,320,126.00
Entity-7,Buy,1.0242,CHF,04-02-2018,04-03-2018,430,130.75
Entity-7,Sell,1.0242,CHF,04-02-2018,04-03-2018,140,131.25
Entity-8,Buy,0.1512,CNY,04-02-2018,04-04-2018,180,135.25
Entity-8,Sell,0.1512,CNY,04-02-2018,04-04-2018,230,135.75
Entity-9,Buy,0.1197,SEK,04-02-2018,04-05-2018,260,140.50
Entity-9,Sell,0.1197,SEK,04-02-2018,04-05-2018,175,141.00
Entity-10,Buy,0.0536,MXN,04-02-2018,04-06-2018,225,145.75
Entity-10,Sell,0.0536,MXN,04-02-2018,04-06-2018,325,146.25
Entity-11,Buy,0.6890,NZD,04-03-2018,04-03-2018,415,150.25
Entity-11,Sell,0.6890,NZD,04-03-2018,04-03-2018,220,150.75
Entity-12,Buy,0.7427,SGD,04-03-2018,04-04-2018,310,155.50
Entity-12,Sell,0.7427,SGD,04-03-2018,04-04-2018,410,156.00
Entity-13,Buy,0.2722,AED,04-03-2018,04-05-2018,270,160.75
Entity-13,Sell,0.2722,AED,04-03-2018,04-05-2018,510,161.25
